"filename", "language", "Svelte", "TypeScript", "comment", "blank", "total"
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/layout/LayoutProcess.svelte", "Svelte", -7, 0, 0, -4, -11
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/layout/LayoutTab.svelte", "Svelte", -84, 0, 0, -10, -94
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/layout/RootLayoutApp.svelte", "Svelte", -30, 0, 0, -5, -35
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/layout/RootLayoutModal.svelte", "Svelte", -91, 0, 0, -11, -102
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/layout/layoutDash/LayoutDashboard.svelte", "Svelte", -163, 0, -3, -14, -180
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/layout/layoutDash/tso_data.svelte", "Svelte", -27, 0, -1, -6, -34
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/layout/layoutDash/tso_moed_ssr_advocate.svelte", "Svelte", -36, 0, -1, -7, -44
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/layout/layoutDash/tso_moed_ssr_app.svelte", "Svelte", -31, 0, -1, -6, -38
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/layout/layoutDash/tso_moed_ssr_doc.svelte", "Svelte", -29, 0, 0, -7, -36
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/layout/layoutDash/tso_moed_ssr_msg.svelte", "Svelte", -28, 0, -1, -6, -35
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/NavApp.svelte", "Svelte", -52, 0, 0, -6, -58
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/NavAppMobile.svelte", "Svelte", -38, 0, 0, -7, -45
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/NavCrumbsDesktop.svelte", "Svelte", -92, 0, 0, -5, -97
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/NavCrumbsMobile.svelte", "Svelte", -44, 0, 0, -5, -49
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/NavRow.svelte", "Svelte", -60, 0, 0, -6, -66
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/NavRowAction.svelte", "Svelte", -14, 0, 0, -3, -17
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/NavMenu.svelte", "Svelte", -47, 0, 0, -7, -54
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/NavMenuApps.svelte", "Svelte", -20, 0, 0, -5, -25
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/NavMenuCopyright.svelte", "Svelte", -14, 0, 0, -4, -18
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/NavMenuGroup.svelte", "Svelte", -30, 0, 0, -4, -34
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/NavMenuHeader.svelte", "Svelte", -10, 0, 0, -3, -13
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/NavMenuHr.svelte", "Svelte", -8, 0, 0, -3, -11
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/NavMenuInfo.svelte", "Svelte", -13, 0, 0, -3, -16
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/NavMenuItem.svelte", "Svelte", -65, 0, 0, -6, -71
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/NavMenuOrg.svelte", "Svelte", -48, 0, 0, -7, -55
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/NavMenuUser.svelte", "Svelte", -41, 0, 0, -7, -48
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/nav/navMenu/types.navMenu.svelte.ts", "TypeScript", 0, -444, -55, -39, -538
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/other/AddressSelect.svelte", "Svelte", -8, 0, -37, -4, -49
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/other/UnderConstruction.svelte", "Svelte", -12, 0, 0, -4, -16
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/other/types.userAction.svelte.ts", "TypeScript", 0, -328, 0, -20, -348
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/overlay/OverlayDrawer.svelte", "Svelte", -29, 0, 0, -7, -36
"/Users/phylliphall/Documents/Programs/esp/src/lib/components/overlay/OverlayModal.svelte", "Svelte", -9, 0, 0, -2, -11
"/Users/phylliphall/Documents/Programs/esp/src/lib/enhancements/actions/actionsClassDo.ts", "TypeScript", 0, -258, -2, -28, -288
"/Users/phylliphall/Documents/Programs/esp/src/lib/enhancements/actions/actionsClassDoFieldAuth.ts", "TypeScript", 0, -208, -6, -23, -237
"/Users/phylliphall/Documents/Programs/esp/src/lib/enhancements/actions/actionsClassModal.ts", "TypeScript", 0, -37, 0, -8, -45
"/Users/phylliphall/Documents/Programs/esp/src/lib/enhancements/actions/actionsClassNav.ts", "TypeScript", 0, -99, 0, -14, -113
"/Users/phylliphall/Documents/Programs/esp/src/lib/enhancements/actions/actionsClassUtils.ts", "TypeScript", 0, -55, 0, -9, -64
"/Users/phylliphall/Documents/Programs/esp/src/lib/enhancements/queryRiderFunctions/qrfFileStorage.ts", "TypeScript", 0, -108, -1, -17, -126
"/Users/phylliphall/Documents/Programs/esp/src/lib/enhancements/queryRiderFunctions/qrfUserUpdate.ts", "TypeScript", 0, -22, 0, -3, -25
"/Users/phylliphall/Documents/Programs/esp/src/lib/server/apiSendGrid.ts", "TypeScript", 0, -64, -2, -12, -78
"/Users/phylliphall/Documents/Programs/esp/src/lib/server/dbESP.ts", "TypeScript", 0, -287, -26, -29, -342
"/Users/phylliphall/Documents/Programs/esp/src/lib/server/dbEdge/init/dbEdgeInit.ts", "TypeScript", 0, -47, -8, -13, -68
"/Users/phylliphall/Documents/Programs/esp/src/lib/server/dbEdge/init/dbEdgeInit1User.ts", "TypeScript", 0, -530, -30, -23, -583
